Protein IDs,Majority protein IDs,Fasta headers,LFQ intensity IDI-1,LFQ intensity IDI-2,LFQ intensity IDI-3,LFQ intensity IDLL-1,LFQ intensity IDLL-2,LFQ intensity IDLL-3,Mol. weight [kDa],Sequence length
A0A4Y7MRR8;E9GMC5;A0A4Y7MQH2;A0A4Y7MWA6,A0A4Y7MRR8;E9GMC5;A0A4Y7MQH2;A0A4Y7MWA6,tr|A0A4Y7MRR8|A0A4Y7MRR8_DAPPU EOG090X07HN OS=Daphnia pulex OX=6669 GN=EOG090X07HN PE=2 SV=1;tr|E9GMC5|E9GMC5_DAPPU EOG090X07HN OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_212601 PE=3 SV=1;tr|A0A4Y7MQH2|A0A4Y7MQH2_DAPPU EOG090X07HN OS=Daphnia pulex OX=6669 GN=E,0,0,854010,0,0,0,40.059,355
E9G5I6;A0A4Y7MQK1;A0A4Y7MX14;A0A4Y7MVC9,E9G5I6;A0A4Y7MQK1;A0A4Y7MX14;A0A4Y7MVC9,tr|E9G5I6|E9G5I6_DAPPU EOG090X0I6M OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_46184 PE=3 SV=1;tr|A0A4Y7MQK1|A0A4Y7MQK1_DAPPU EOG090X0I6M OS=Daphnia pulex OX=6669 GN=EOG090X0I6M PE=2 SV=1;tr|A0A4Y7MX14|A0A4Y7MX14_DAPPU EOG090X0I6M OS=Daphnia pulex OX=6669 GN=EO,0,0,6306000,0,0,0,16.564,143
E9H6X6;A0A4Y7MWU4;A0A4Y7MQK5,E9H6X6;A0A4Y7MWU4;A0A4Y7MQK5,tr|E9H6X6|E9H6X6_DAPPU EOG090X0CJA OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_58991 PE=3 SV=1;tr|A0A4Y7MWU4|A0A4Y7MWU4_DAPPU EOG090X0CJA OS=Daphnia pulex OX=6669 GN=EOG090X0CJA PE=2 SV=1;tr|A0A4Y7MQK5|A0A4Y7MQK5_DAPPU EOG090X0CJA OS=Daphnia pulex OX=6669 GN=EO,27198000,21182000,20363000,0,0,0,28.15,249
A0A4Y7MQM4;E9GIU9;A0A4Y7MV37,A0A4Y7MQM4;E9GIU9;A0A4Y7MV37,tr|A0A4Y7MQM4|A0A4Y7MQM4_DAPPU EOG090X0DDP OS=Daphnia pulex OX=6669 GN=EOG090X0DDP PE=2 SV=1;tr|E9GIU9|E9GIU9_DAPPU EOG090X0DDP OS=Daphnia pulex OX=6669 GN=EOG090X0DDP PE=2 SV=1;tr|A0A4Y7MV37|A0A4Y7MV37_DAPPU EOG090X0DDP OS=Daphnia pulex OX=6669 GN=EOG090X,27388000,28507000,27158000,0,0,0,34.678,302
A0A4Y7MQS3;A0A4Y7MT15,A0A4Y7MQS3;A0A4Y7MT15,tr|A0A4Y7MQS3|A0A4Y7MQS3_DAPPU Calcium-transporting ATPase OS=Daphnia pulex OX=6669 GN=EOG090X00V6 PE=2 SV=1;tr|A0A4Y7MT15|A0A4Y7MT15_DAPPU P-type Ca(2+) transporter (Fragment) OS=Daphnia pulex OX=6669 GN=EOG090X00V6 PE=2 SV=1,0,34749000,34399000,292390000,292120000,304690000,110.85,1005
A0A4Y7MQW4;E9HJU6;A0A4Y7MRJ9,A0A4Y7MQW4;E9HJU6;A0A4Y7MRJ9,tr|A0A4Y7MQW4|A0A4Y7MQW4_DAPPU Proteasome subunit beta OS=Daphnia pulex OX=6669 GN=EOG090X09LQ PE=2 SV=1;tr|E9HJU6|E9HJU6_DAPPU Proteasome subunit alpha type OS=Daphnia pulex OX=6669 GN=EOG090X09LQ PE=2 SV=1;tr|A0A4Y7MRJ9|A0A4Y7MRJ9_DAPPU Proteasome subuni,0,0,4197800,0,0,0,25.514,233
E9G6K4;A0A4Y7MRR7;A0A4Y7MQX0,E9G6K4;A0A4Y7MRR7;A0A4Y7MQX0,tr|E9G6K4|E9G6K4_DAPPU Mannosyl-oligosaccharide glucosidase OS=Daphnia pulex OX=6669 GN=EOG090X02G1 PE=2 SV=1;tr|A0A4Y7MRR7|A0A4Y7MRR7_DAPPU Mannosyl-oligosaccharide glucosidase OS=Daphnia pulex OX=6669 GN=EOG090X02G1 PE=2 SV=1;tr|A0A4Y7MQX0|A0A4Y7MQX0_DAP,6999200,7814500,7285400,0,0,0,96.629,846
A0A4Y7MQZ7;E9H9N3,A0A4Y7MQZ7;E9H9N3,tr|A0A4Y7MQZ7|A0A4Y7MQZ7_DAPPU EOG090X03O4 OS=Daphnia pulex OX=6669 GN=EOG090X03O4 PE=2 SV=1;tr|E9H9N3|E9H9N3_DAPPU EOG090X03O4 OS=Daphnia pulex OX=6669 GN=EOG090X03O4 PE=2 SV=1,331920000,294770000,336310000,133340000,127090000,117850000,52.178,474
E9I5I1;A0A4Y7MRV5;A0A4Y7MR07,E9I5I1;A0A4Y7MRV5;A0A4Y7MR07,tr|E9I5I1|E9I5I1_DAPPU EOG090X03V0 OS=Daphnia pulex OX=6669 GN=EOG090X03V0 PE=2 SV=1;tr|A0A4Y7MRV5|A0A4Y7MRV5_DAPPU EOG090X03V0 OS=Daphnia pulex OX=6669 GN=EOG090X03V0 PE=2 SV=1;tr|A0A4Y7MR07|A0A4Y7MR07_DAPPU EOG090X03V0 OS=Daphnia pulex OX=6669 GN=EOG090X,0,0,1643100,0,0,0,33.781,317
A0A4Y7MR60;A0A4Y7MWT6;A0A4Y7MUN9;E9GEU5,A0A4Y7MR60;A0A4Y7MWT6;A0A4Y7MUN9;E9GEU5,tr|A0A4Y7MR60|A0A4Y7MR60_DAPPU Holocytochrome c-type synthase OS=Daphnia pulex OX=6669 GN=EOG090X0CJG PE=2 SV=1;tr|A0A4Y7MWT6|A0A4Y7MWT6_DAPPU Holocytochrome c-type synthase OS=Daphnia pulex OX=6669 GN=EOG090X0CJG PE=2 SV=1;tr|A0A4Y7MUN9|A0A4Y7MUN9_DAPPU H,0,0,7906000,0,0,0,24.917,207
A0A4Y7MTF7;A0A4Y7MRA1;E9FW04;A0A4Y7MVQ7,A0A4Y7MTF7;A0A4Y7MRA1;E9FW04;A0A4Y7MVQ7,tr|A0A4Y7MTF7|A0A4Y7MTF7_DAPPU EOG090X07WF OS=Daphnia pulex OX=6669 GN=EOG090X07WF PE=2 SV=1;tr|A0A4Y7MRA1|A0A4Y7MRA1_DAPPU EOG090X02IK OS=Daphnia pulex OX=6669 GN=EOG090X02IK PE=2 SV=1;tr|E9FW04|E9FW04_DAPPU EOG090X07WF OS=Daphnia pulex OX=6669 GN=EOG090X,25089000,30809000,31288000,27382000,0,0,40.017,357
A0A4Y7MVM0;A0A4Y7MRL1;E9HJS5;A0A4Y7MUY0,A0A4Y7MVM0;A0A4Y7MRL1;E9HJS5,tr|A0A4Y7MVM0|A0A4Y7MVM0_DAPPU 116 kDa U5 small nuclear ribonucleoprotein component OS=Daphnia pulex OX=6669 GN=EOG090X00RJ PE=2 SV=1;tr|A0A4Y7MRL1|A0A4Y7MRL1_DAPPU 116 kDa U5 small nuclear ribonucleoprotein component OS=Daphnia pulex OX=6669 GN=EOG090X00R,7713300,7441300,7037800,0,0,0,111.47,991
A0A4Y7MVW5;A0A4Y7MU33;A0A4Y7MRS2;E9FYE9,A0A4Y7MVW5;A0A4Y7MU33;A0A4Y7MRS2;E9FYE9,tr|A0A4Y7MVW5|A0A4Y7MVW5_DAPPU V-type proton ATPase subunit H OS=Daphnia pulex OX=6669 GN=EOG090X044C PE=2 SV=1;tr|A0A4Y7MU33|A0A4Y7MU33_DAPPU V-type proton ATPase subunit H OS=Daphnia pulex OX=6669 GN=EOG090X044C PE=2 SV=1;tr|A0A4Y7MRS2|A0A4Y7MRS2_DAPPU V,56521000,58039000,56252000,0,0,0,53.017,457
A0A4Y7MW08;A0A4Y7MT99;A0A4Y7MRW8;E9GS98,A0A4Y7MW08;A0A4Y7MT99;A0A4Y7MRW8;E9GS98,"tr|A0A4Y7MW08|A0A4Y7MW08_DAPPU Phosphatidylserine decarboxylase proenzyme, mitochondrial OS=Daphnia pulex OX=6669 GN=EOG090X05NI PE=2 SV=1;tr|A0A4Y7MT99|A0A4Y7MT99_DAPPU Phosphatidylserine decarboxylase proenzyme, mitochondrial OS=Daphnia pulex OX=6669 GN=",0,0,2866400,0,0,0,45.168,400
E9HCE8;A0A4Y7MVW0;A0A4Y7MRZ3,E9HCE8;A0A4Y7MVW0;A0A4Y7MRZ3,tr|E9HCE8|E9HCE8_DAPPU Protein disulfide-isomerase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_202253 PE=3 SV=1;tr|A0A4Y7MVW0|A0A4Y7MVW0_DAPPU Protein disulfide-isomerase OS=Daphnia pulex OX=6669 GN=EOG090X0438 PE=2 SV=1;tr|A0A4Y7MRZ3|A0A4Y7MRZ3_DAPPU Protein d,1649300000,1271400000,1332400000,517690000,297880000,373560000,54.92,489
A0A4Y7MSB0;A0A4Y7MWI3;A0A4Y7MRZ9;E9FUU8,A0A4Y7MSB0;A0A4Y7MWI3;A0A4Y7MRZ9;E9FUU8,tr|A0A4Y7MSB0|A0A4Y7MSB0_DAPPU EOG090X09QP OS=Daphnia pulex OX=6669 GN=EOG090X09QP PE=2 SV=1;tr|A0A4Y7MWI3|A0A4Y7MWI3_DAPPU EOG090X09QP OS=Daphnia pulex OX=6669 GN=EOG090X09QP PE=2 SV=1;tr|A0A4Y7MRZ9|A0A4Y7MRZ9_DAPPU EOG090X09QP OS=Daphnia pulex OX=6669 GN,0,0,8770900,0,0,0,27.072,237
A0A4Y7MSB9;A0A4Y7MS11;E9FR21,A0A4Y7MSB9;A0A4Y7MS11;E9FR21,tr|A0A4Y7MSB9|A0A4Y7MSB9_DAPPU EOG090X09YS (Fragment) OS=Daphnia pulex OX=6669 GN=EOG090X09YS PE=2 SV=1;tr|A0A4Y7MS11|A0A4Y7MS11_DAPPU 60S ribosomal protein L5 OS=Daphnia pulex OX=6669 GN=EOG090X09YS PE=2 SV=1;tr|E9FR21|E9FR21_DAPPU 60S ribosomal protein L,12103000,12787000,11391000,0,0,0,26.733,235
E9HZY7;A0A4Y7MS13;A0A4Y7MUN7;E9I3C5,E9HZY7;A0A4Y7MS13;A0A4Y7MUN7,tr|E9HZY7|E9HZY7_DAPPU 40S ribosomal protein S4 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_300650 PE=3 SV=1;tr|A0A4Y7MS13|A0A4Y7MS13_DAPPU 40S ribosomal protein S4 OS=Daphnia pulex OX=6669 GN=EOG090X0615 PE=2 SV=1;tr|A0A4Y7MUN7|A0A4Y7MUN7_DAPPU 40S ribosomal p,69312000,57294000,69169000,74404000,86642000,86344000,27.497,244
E9H0F0;A0A4Y7MWN0;A0A4Y7MS67,E9H0F0;A0A4Y7MWN0;A0A4Y7MS67,tr|E9H0F0|E9H0F0_DAPPU ATP synthase subunit gamma OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_226547 PE=3 SV=1;tr|A0A4Y7MWN0|A0A4Y7MWN0_DAPPU EOG090X0BEK OS=Daphnia pulex OX=6669 GN=EOG090X0BEK PE=2 SV=1;tr|A0A4Y7MS67|A0A4Y7MS67_DAPPU ATP synthase subunit gamma,995730000,866310000,957350000,399370000,306830000,173570000,31.898,291
A0A4Y7MS99;E9H8B8;A0A4Y7MTK8,A0A4Y7MS99;E9H8B8;A0A4Y7MTK8,tr|A0A4Y7MS99|A0A4Y7MS99_DAPPU EOG090X09U3 (Fragment) OS=Daphnia pulex OX=6669 GN=EOG090X09U3 PE=2 SV=1;tr|E9H8B8|E9H8B8_DAPPU EOG090X09U3 OS=Daphnia pulex OX=6669 GN=EOG090X09U3 PE=2 SV=1;tr|A0A4Y7MTK8|A0A4Y7MTK8_DAPPU EOG090X09U3 OS=Daphnia pulex OX=6669,24741000,65421000,96646000,0,0,0,20.766,184
E9GW17;A0A4Y7MUU8;A0A4Y7MSD0,E9GW17;A0A4Y7MUU8;A0A4Y7MSD0,tr|E9GW17|E9GW17_DAPPU EOG090X0A5G OS=Daphnia pulex OX=6669 GN=EOG090X0A5G PE=2 SV=1;tr|A0A4Y7MUU8|A0A4Y7MUU8_DAPPU EOG090X0A5G OS=Daphnia pulex OX=6669 GN=EOG090X0A5G PE=2 SV=1;tr|A0A4Y7MSD0|A0A4Y7MSD0_DAPPU EOG090X0A5G OS=Daphnia pulex OX=6669 GN=EOG090X,70927000,79285000,67404000,0,0,0,32.301,287
E9FZ38;A0A4Y7MSG6,E9FZ38;A0A4Y7MSG6,tr|E9FZ38|E9FZ38_DAPPU Eukaryotic translation initiation factor 2 subunit 1 OS=Daphnia pulex OX=6669 GN=EOG090X09RW PE=2 SV=1;tr|A0A4Y7MSG6|A0A4Y7MSG6_DAPPU Eukaryotic translation initiation factor 2 subunit 1 OS=Daphnia pulex OX=6669 GN=EOG090X09RW PE=2 S,6396400,7267600,0,0,0,0,37.169,333
E9H0D0;A0A4Y7MSH7,E9H0D0;A0A4Y7MSH7,tr|E9H0D0|E9H0D0_DAPPU Eukaryotic translation initiation factor 3 subunit K OS=Daphnia pulex OX=6669 GN=EOG090X0BWZ PE=2 SV=1;tr|A0A4Y7MSH7|A0A4Y7MSH7_DAPPU Eukaryotic translation initiation factor 3 subunit K OS=Daphnia pulex OX=6669 GN=EOG090X0BWZ PE=2 S,11019000,14151000,15608000,0,0,0,24.965,216
E9HIT5;A0A4Y7MTT0;A0A4Y7MSI3,E9HIT5;A0A4Y7MTT0;A0A4Y7MSI3,tr|E9HIT5|E9HIT5_DAPPU ER membrane protein complex subunit 2 OS=Daphnia pulex OX=6669 GN=EOG090X0CGE PE=2 SV=1;tr|A0A4Y7MTT0|A0A4Y7MTT0_DAPPU ER membrane protein complex subunit 2 OS=Daphnia pulex OX=6669 GN=EOG090X0CGE PE=2 SV=1;tr|A0A4Y7MSI3|A0A4Y7MSI3_D,0,10301000,0,0,0,0,33.925,291
E9HND1;A0A4Y7MSN4;A0A4Y7MV73,E9HND1;A0A4Y7MSN4;A0A4Y7MV73,"tr|E9HND1|E9HND1_DAPPU 39S ribosomal protein L30, mitochondrial OS=Daphnia pulex OX=6669 GN=EOG090X0EYV PE=2 SV=1;tr|A0A4Y7MSN4|A0A4Y7MSN4_DAPPU 39S ribosomal protein L30, mitochondrial OS=Daphnia pulex OX=6669 GN=EOG090X0EYV PE=2 SV=1;tr|A0A4Y7MV73|A0A4Y7",0,0,3434800,0,0,0,23.118,206
A0A4Y7MSU5;E9FR07;A0A4Y7MVC8,A0A4Y7MSU5;E9FR07;A0A4Y7MVC8,tr|A0A4Y7MSU5|A0A4Y7MSU5_DAPPU EOG090X0I8J OS=Daphnia pulex OX=6669 GN=EOG090X0I8J PE=2 SV=1;tr|E9FR07|E9FR07_DAPPU EOG090X0I8J OS=Daphnia pulex OX=6669 GN=EOG090X0I8J PE=2 SV=1;tr|A0A4Y7MVC8|A0A4Y7MVC8_DAPPU EOG090X0I8J OS=Daphnia pulex OX=6669 GN=EOG090X,0,0,0,0,0,11877000,16.764,145
A0A4Y7MSV5,A0A4Y7MSV5,tr|A0A4Y7MSV5|A0A4Y7MSV5_DAPPU EOG090X0JXG OS=Daphnia pulex OX=6669 GN=EOG090X0JXG PE=2 SV=1,0,0,2745900,0,0,0,12.425,108
E9GAI5;A0A4Y7MSZ0;A0A4Y7MSW1;A0A4Y7MVK6,E9GAI5;A0A4Y7MSZ0;A0A4Y7MSW1;A0A4Y7MVK6,tr|E9GAI5|E9GAI5_DAPPU Peptidase_M14 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_239963 PE=3 SV=1;tr|A0A4Y7MSZ0|A0A4Y7MSZ0_DAPPU EOG090X00QE OS=Daphnia pulex OX=6669 GN=EOG090X00QE PE=2 SV=1;tr|A0A4Y7MSW1|A0A4Y7MSW1_DAPPU EOG090X00QE O,0,0,4766400,0,0,0,90.188,805
E9GER2;A0A4Y7MTB4,E9GER2;A0A4Y7MTB4,tr|E9GER2|E9GER2_DAPPU Eukaryotic translation initiation factor 3 subunit L OS=Daphnia pulex OX=6669 GN=EOG090X0665 PE=2 SV=1;tr|A0A4Y7MTB4|A0A4Y7MTB4_DAPPU Eukaryotic translation initiation factor 3 subunit L OS=Daphnia pulex OX=6669 GN=EOG090X0665 PE=2 S,17352000,18762000,17762000,0,0,0,63.513,540
A0A4Y7MTC0;E9FW68,A0A4Y7MTC0;E9FW68,tr|A0A4Y7MTC0|A0A4Y7MTC0_DAPPU EOG090X05J1 OS=Daphnia pulex OX=6669 GN=EOG090X05J1 PE=2 SV=1;tr|E9FW68|E9FW68_DAPPU EOG090X05J1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304733 PE=3 SV=1,0,6655300,0,0,0,0,45.859,429
A0A4Y7MU08;A0A4Y7MTI1;E9HPN8,A0A4Y7MU08;A0A4Y7MTI1;E9HPN8,tr|A0A4Y7MU08|A0A4Y7MU08_DAPPU EOG090X09BG OS=Daphnia pulex OX=6669 GN=EOG090X09BG PE=2 SV=1;tr|A0A4Y7MTI1|A0A4Y7MTI1_DAPPU EOG090X09BG OS=Daphnia pulex OX=6669 GN=EOG090X09BG PE=2 SV=1;tr|E9HPN8|E9HPN8_DAPPU EOG090X09BG OS=Daphnia pulex OX=6669 GN=EOG090X,0,0,4717600,0,0,0,29.917,258
E9GJA0;A0A4Y7MUG6;A0A4Y7MTI3,E9GJA0;A0A4Y7MUG6;A0A4Y7MTI3,tr|E9GJA0|E9GJA0_DAPPU EOG090X0856 OS=Daphnia pulex OX=6669 GN=EOG090X0856 PE=2 SV=1;tr|A0A4Y7MUG6|A0A4Y7MUG6_DAPPU EOG090X0856 OS=Daphnia pulex OX=6669 GN=EOG090X0856 PE=2 SV=1;tr|A0A4Y7MTI3|A0A4Y7MTI3_DAPPU EOG090X0856 OS=Daphnia pulex OX=6669 GN=EOG090X,48704000,45993000,50153000,0,0,0,34.617,309
A0A4Y7MTJ3;A0A4Y7MUA1;E9GW93,A0A4Y7MTJ3;A0A4Y7MUA1;E9GW93,tr|A0A4Y7MTJ3|A0A4Y7MTJ3_DAPPU Very-long-chain enoyl-CoA reductase OS=Daphnia pulex OX=6669 GN=EOG090X097L PE=2 SV=1;tr|A0A4Y7MUA1|A0A4Y7MUA1_DAPPU Very-long-chain enoyl-CoA reductase OS=Daphnia pulex OX=6669 GN=EOG090X097L PE=2 SV=1;tr|E9GW93|E9GW93_DAPPU,18243000,12573000,11132000,0,0,0,42.758,369
A0A4Y7MTU3;A0A4Y7MX66;A0A4Y7MVC5;E9G656,A0A4Y7MTU3;A0A4Y7MX66;A0A4Y7MVC5;E9G656,tr|A0A4Y7MTU3|A0A4Y7MTU3_DAPPU Protein quiver OS=Daphnia pulex OX=6669 GN=EOG090X0I2F PE=2 SV=1;tr|A0A4Y7MX66|A0A4Y7MX66_DAPPU Protein quiver OS=Daphnia pulex OX=6669 GN=EOG090X0I2F PE=2 SV=1;tr|A0A4Y7MVC5|A0A4Y7MVC5_DAPPU Protein quiver OS=Daphnia pulex O,28527000,26757000,20519000,0,0,0,13.518,117
E9HD19;A0A4Y7MWX1;A0A4Y7MTU6;A0A4Y7MUI1,E9HD19;A0A4Y7MWX1;A0A4Y7MTU6;A0A4Y7MUI1,tr|E9HD19|E9HD19_DAPPU EOG090X0DP2 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_328140 PE=4 SV=1;tr|A0A4Y7MWX1|A0A4Y7MWX1_DAPPU EOG090X0DP2 OS=Daphnia pulex OX=6669 GN=EOG090X0DP2 PE=2 SV=1;tr|A0A4Y7MTU6|A0A4Y7MTU6_DAPPU EOG090X0DP2 OS=Daphnia pulex OX=6669 GN=E,0,3784400,0,0,0,0,17.038,150
A0A4Y7MTZ4,A0A4Y7MTZ4,tr|A0A4Y7MTZ4|A0A4Y7MTZ4_DAPPU EOG090X0GY7 OS=Daphnia pulex OX=6669 GN=EOG090X0GY7 PE=2 SV=1,0,0,2139400,0,0,0,18.786,167
E9GSE7;A0A4Y7MU55,E9GSE7;A0A4Y7MU55,tr|E9GSE7|E9GSE7_DAPPU CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Daphnia pulex OX=6669 GN=EOG090X0BWK PE=2 SV=1;tr|A0A4Y7MU55|A0A4Y7MU55_DAPPU CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Daphnia pulex OX=6669 GN=EOG090X0BWK PE,0,0,20750000,0,0,0,24.483,216
A0A4Y7MWS9;A0A4Y7MU60;E9FSV7;A0A4Y7MV01,A0A4Y7MWS9;A0A4Y7MU60;E9FSV7;A0A4Y7MV01,tr|A0A4Y7MWS9|A0A4Y7MWS9_DAPPU Signal recognition particle receptor subunit beta OS=Daphnia pulex OX=6669 GN=EOG090X0C7N PE=2 SV=1;tr|A0A4Y7MU60|A0A4Y7MU60_DAPPU Signal recognition particle receptor subunit beta OS=Daphnia pulex OX=6669 GN=EOG090X0C7N PE=2,28593000,25231000,20853000,0,0,0,26.633,234
E9G4Z7;A0A4Y7MU66;A0A4Y7MVQ3;A0A4Y7MSY8,E9G4Z7;A0A4Y7MU66;A0A4Y7MVQ3;A0A4Y7MSY8,tr|E9G4Z7|E9G4Z7_DAPPU NADPH--cytochrome P450 reductase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_300447 PE=3 SV=1;tr|A0A4Y7MU66|A0A4Y7MU66_DAPPU NADPH--cytochrome P450 reductase OS=Daphnia pulex OX=6669 GN=EOG090X027R PE=2 SV=1;tr|A0A4Y7MVQ3|A0A4Y7MVQ3_DAPPU,15071000,14419000,16428000,0,0,0,74.962,661
A0A4Y7MUD1;E9FVS6,A0A4Y7MUD1;E9FVS6,tr|A0A4Y7MUD1|A0A4Y7MUD1_DAPPU EOG090X0AQH (Fragment) OS=Daphnia pulex OX=6669 GN=EOG090X0AQH PE=2 SV=1;tr|E9FVS6|E9FVS6_DAPPU TraB domain-containing protein (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_95443 PE=4 SV=1,0,19857000,16860000,0,0,14220000,36.024,322
