Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides IDI-1,Peptides IDI-2,Peptides IDI-3,Peptides IDLL-1,Peptides IDLL-2,Peptides IDLL-3,Razor + unique peptides IDI-1,Razor + unique peptides IDI-2,Razor + unique peptides IDI-3,Razor + unique peptides IDLL-1,Razor + unique peptides IDLL-2,Razor + unique peptides IDLL-3,Unique peptides IDI-1,Unique peptides IDI-2,Unique peptides IDI-3,Unique peptides IDLL-1,Unique peptides IDLL-2,Unique peptides IDLL-3,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Identification type IDI-1,Identification type IDI-2,Identification type IDI-3,Identification type IDLL-1,Identification type IDLL-2,Identification type IDLL-3,Sequence coverage IDI-1 [%],Sequence coverage IDI-2 [%],Sequence coverage IDI-3 [%],Sequence coverage IDLL-1 [%],Sequence coverage IDLL-2 [%],Sequence coverage IDLL-3 [%],Intensity,Intensity IDI-1,Intensity IDI-2,Intensity IDI-3,Intensity IDLL-1,Intensity IDLL-2,Intensity IDLL-3,iBAQ peptides,iBAQ,iBAQ IDI-1,iBAQ IDI-2,iBAQ IDI-3,iBAQ IDLL-1,iBAQ IDLL-2,iBAQ IDLL-3,LFQ intensity IDI-1,LFQ intensity IDI-2,LFQ intensity IDI-3,LFQ intensity IDLL-1,LFQ intensity IDLL-2,LFQ intensity IDLL-3,MS/MS count IDI-1,MS/MS count IDI-2,MS/MS count IDI-3,MS/MS count IDLL-1,MS/MS count IDLL-2,MS/MS count IDLL-3,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
E9FZ07,E9FZ07,5,5,5,tr|E9FZ07|E9FZ07_DAPPU Thioredoxin-disulfide reductase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306444 PE=3 SV=1,1,5,5,5,5,5,5,1,1,0,5,5,5,1,1,0,5,5,5,1,1,0,10.0,10.0,10.0,66.272,611,611,0.0,16.309,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,,10.0,10.0,10.0,1.1,1.1,0.0,71715000,29481000,22862000,18435000,488070,449010,0,31,2313400,951000.0,737470.0,594690,15744.0,14484.0,0.0,28448000,20967000,21394000,0,0,0,5,3,4,0,0,0,12,,,,361,876;1216;3344;3722;6476,True;True;True;True;True,905;1261;3469;3863;6745,3756;3757;3758;5259;5260;5261;14518;14519;14520;16305;16306;16307;16308;16309;28261;28262;28263;28264,2854;3972;10845;10846;10847;12430;12431;12432;21409;21410;21411;21412,2854;3972;10847;12430;21409,,,-1
E9FZ14,E9FZ14,8,8,8,tr|E9FZ14|E9FZ14_DAPPU Vacuolar proton pump subunit B OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306451 PE=3 SV=1,1,8,8,8,8,8,8,3,3,3,8,8,8,3,3,3,8,8,8,3,3,3,19.6,19.6,19.6,55.523,499,499,0.0,48.502,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,19.6,19.6,19.6,6.8,6.8,6.8,493250000,154720000,162180000,154990000,7754600,7165600,6438200,25,19730000,6188900.0,6487200.0,6199600,310180.0,286620.0,257530.0,142140000,138040000,159560000,86946000,104260000,73680000,6,5,7,1,2,0,21,,,,362,635;2838;4190;4414;4552;5117;5653;6351,True;True;True;True;True;True;True;True,655;2943;4377;4613;4753;5337;5896;6617,2778;2779;2780;2781;2782;2783;12176;12177;12178;18385;18386;18387;18388;18389;18390;19361;19362;19363;19893;19894;19895;22369;22370;22371;24671;24672;24673;27717;27718;27719;27720;27721;27722,2077;2078;2079;9179;9180;9181;13969;13970;13971;13972;13973;14679;14680;14681;15068;15069;16875;18660;18661;18662;20990,2077;9180;13970;14681;15068;16875;18661;20990,,,-1
E9FZ29;E9I0M1;E9HVP5;E9HVP8;E9I3A2,E9FZ29;E9I0M1;E9HVP5;E9HVP8,6;5;5;4;1,6;5;5;4;1,3;3;3;2;1,tr|E9FZ29|E9FZ29_DAPPU Nucleoside diphosphate kinase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306455 PE=3 SV=1;tr|E9I0M1|E9I0M1_DAPPU Nucleoside diphosphate kinase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_93870 PE=3 SV=1;tr|E9HVP5|E9HVP5_DAPPU Nucleoside dipho,5,6,6,3,6,6,6,4,4,3,6,6,6,4,4,3,3,3,3,1,1,1,48.7,48.7,20.8,17.354,154,154;144;144;164;68,0.0,124.18,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,48.7,48.7,48.7,33.8,33.8,22.7,395430000,109730000,139690000,125300000,6704700,6804600,7204100,11,35949000,9975700.0,12699000.0,11391000,609520.0,618600.0,654920.0,104690000,116560000,118070000,78271000,94172000,88478000,9,10,7,2,1,1,30,,,,363,772;1902;1983;4247;4580;5676,True;True;True;True;True;True,799;1973;2055;4437;4438;4782;5920;5921,3368;3369;3370;8156;8157;8158;8466;8467;8468;8469;8470;8471;18619;18620;18621;18622;18623;18624;18625;18626;18627;18628;18629;18630;18631;18632;20030;20031;20032;20033;20034;20035;20036;20037;24778;24779;24780;24781;24782;24783;24784;24785;24786;24787;24788;24789;24790;24791;24792;24793;24794;24795;24796;24797;24798,2548;6115;6116;6331;14141;14142;14143;14144;14145;14146;14147;14148;14149;14150;14151;15160;15161;15162;15163;15164;18736;18737;18738;18739;18740;18741;18742;18743;18744;18745;18746,2548;6115;6331;14146;15161;18744,139;140,11;118,-1;-1;-1;-1;-1
E9FZ54,E9FZ54,2,2,2,tr|E9FZ54|E9FZ54_DAPPU 40S ribosomal protein S26 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_92111 PE=3 SV=1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,20.9,20.9,20.9,13.024,115,115,0.0,7.7213,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By matching,20.9,20.9,20.9,7.8,7.8,7.8,152360000,53126000,47547000,48464000,1077800,1033500,1109300,4,38089000,13281000.0,11887000.0,12116000,269440.0,258380.0,277330.0,53431000,49975000,46093000,0,0,0,2,1,1,0,0,0,4,,,,364,897;4255,True;True,926;4446,3840;3841;3842;18655;18656;18657;18658;18659;18660,2913;14167;14168;14169,2913;14168,,,-1
E9FZ58,E9FZ58,4,1,1,tr|E9FZ58|E9FZ58_DAPPU Nucleoside diphosphate kinase OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_306467 PE=3 SV=1,1,4,1,1,4,4,4,3,3,2,1,1,1,0,0,0,1,1,1,0,0,0,35.1,7.1,7.1,17.292,154,154,1.0,-2.0,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By matching,35.1,35.1,35.1,27.9,27.9,16.9,28258000,10447000,8510200,9300800,0,0,0,11,2568900,949750.0,773660.0,845530,0.0,0.0,0.0,0,0,9573900,0,0,0,1,0,0,0,0,0,1,+,,,365,1793;4247;4580;5676,True;False;False;False,1857;4437;4438;4782;5920;5921,7695;7696;7697;18619;18620;18621;18622;18623;18624;18625;18626;18627;18628;18629;18630;18631;18632;20030;20031;20032;20033;20034;20035;20036;20037;24778;24779;24780;24781;24782;24783;24784;24785;24786;24787;24788;24789;24790;24791;24792;24793;24794;24795;24796;24797;24798,5758;14141;14142;14143;14144;14145;14146;14147;14148;14149;14150;14151;15160;15161;15162;15163;15164;18736;18737;18738;18739;18740;18741;18742;18743;18744;18745;18746,5758;14146;15161;18744,139;140,11;118,-1
E9FZA9,E9FZA9,19,19,19,tr|E9FZA9|E9FZA9_DAPPU Low-density lipoprotein receptor (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_43397 PE=4 SV=1,1,19,19,19,18,15,16,2,3,1,18,15,16,2,3,1,18,15,16,2,3,1,4.9,4.9,4.9,499.85,4507,4507,0.0,43.028,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By matching,4.5,4.1,4.3,0.4,0.7,0.2,316060000,106380000,99856000,104810000,1753900,3009300,247310,230,1374200,462500.0,434160.0,455710,7625.5,13084.0,1075.3,90994000,86903000,109400000,0,53843000,0,12,10,9,0,0,0,31,,,,366,74;256;300;362;965;1092;1934;2016;2083;2489;2500;2603;3389;3517;4031;4420;4914;5942;5947,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,78;265;311;375;996;1133;2005;2089;2161;2574;2586;2695;3515;3650;4193;4619;5126;6195;6200,339;340;341;342;343;1081;1082;1083;1281;1282;1283;1284;1568;1569;4136;4137;4138;4732;4733;4734;4735;4736;4737;8266;8267;8583;8584;8885;8886;8887;8888;8889;10629;10630;10631;10686;10687;10688;11101;11102;11103;11104;11105;11106;14690;14691;14692;15473;15474;15475;17663;19388;21510;21511;21512;26015;26016;26017;26040;26041;26042;26043,262;263;264;816;817;964;965;966;1148;3113;3114;3115;3579;3580;3581;6196;6197;6412;6413;6656;6657;7962;8002;8003;8004;8324;8325;8326;8327;8328;10971;10972;11827;13431;14697;16232;19687;19688;19689;19702;19703;19704;19705,264;816;965;1148;3113;3581;6197;6412;6656;7962;8004;8324;10972;11827;13431;14697;16232;19688;19704,,,-1
E9FZG6,E9FZG6,8,8,8,tr|E9FZG6|E9FZG6_DAPPU Venom dipeptidyl peptidase 4 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_307138 PE=4 SV=1,1,8,8,8,7,8,7,1,1,1,7,8,7,1,1,1,7,8,7,1,1,1,10.5,10.5,10.5,95.296,840,840,0.0,20.072,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By matching,9.2,10.5,9.2,1.2,1.2,1.2,227180000,75455000,80427000,69454000,611500,528670,699030,45,5048400,1676800.0,1787300.0,1543400,13589.0,11748.0,15534.0,80954000,73758000,70871000,0,0,0,6,6,5,0,0,0,17,,,,367,1371;2157;2325;4108;4987;5790;6523;6580,True;True;True;True;True;True;True;True,1422;2236;2408;4288;5201;6042;6795;6854,5926;5927;5928;9207;9208;9209;9909;9910;9911;18026;18027;18028;21803;21804;21805;21806;21807;21808;25382;28458;28459;28460;28695;28696;28697,4445;4446;4447;6885;6886;6887;7422;7423;7424;13715;16453;16454;16455;19245;21557;21558;21717,4447;6885;7423;13715;16453;19245;21557;21717,,,-1
E9FZR4,E9FZR4,4,4,4,tr|E9FZR4|E9FZR4_DAPPU Ras-related protein Rab-5B OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_230436 PE=4 SV=1,1,4,4,4,4,4,4,1,0,1,4,4,4,1,0,1,4,4,4,1,0,1,20.3,20.3,20.3,24.171,227,227,0.0,27.342,By MS/MS,By MS/MS,By MS/MS,By matching,,By matching,20.3,20.3,20.3,4.8,0.0,4.8,98387000,34007000,31824000,31170000,664700,0,720950,13,7568300,2615900.0,2448000.0,2397700,51131.0,0.0,55457.0,36518000,28096000,32593000,0,0,0,2,3,4,0,0,0,9,,,,368,1689;3890;4489;6461,True;True;True;True,1751;4034;4689;6730,7225;7226;7227;17017;17018;17019;17020;17021;19641;19642;19643;28196;28197;28198,5406;5407;12959;12960;12961;14892;14893;14894;21365,5406;12959;14892;21365,,,-1
E9FZS9;E9FZT0;E9FZS8,E9FZS9;E9FZT0;E9FZS8,98;98;97,98;98;97,98;98;97,tr|E9FZS9|E9FZS9_DAPPU Myosin heavy chain isoform 1 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_347733 PE=3 SV=1;tr|E9FZT0|E9FZT0_DAPPU Myosin heavy chain isoform 2 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_347733 PE=3 SV=1;tr|E9FZS8|E9FZS8_DAPPU Myosin heavy chai,3,98,98,98,94,97,94,31,31,32,94,97,94,31,31,32,94,97,94,31,31,32,45.3,45.3,45.3,223.31,1946,1946;1946;1947,0.0,323.31,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,44.0,45.1,44.6,15.5,13.8,14.1,27712000000,9262800000,9518000000,8377700000,203210000,166030000,184590000,109,254240000,84980000.0,87321000.0,76859000,1864300.0,1523200.0,1693500.0,7847900000,8484300000,8259400000,2882600000,2603800000,2800000000,115,115,113,14,12,14,383,,,,369,0;83;108;229;233;234;264;313;422;484;489;490;552;574;578;667;748;871;909;938;939;955;1242;1340;1375;1394;1396;1398;1444;1499;1500;1509;1547;1817;2055;2144;2145;2455;2545;2621;2697;2748;2872;2873;2922;2923;2936;3034;3037;3038;3046;3062;3100;3109;3214;3282;3319;3328;3353;3354;3360;3361;3406;3518;3708;3831;3846;3914;4051;4075;4076;4116;4257;4278;4296;4374;4437;4455;4476;4543;4556;4649;4739;4760;5019;5020;5061;5121;5256;5280;5477;5482;5711;5761;5921;5959;5981;6524,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,0;88;113;238;242;243;273;325;439;501;506;507;570;592;596;690;775;899;939;969;970;986;1288;1390;1427;1446;1448;1450;1497;1554;1555;1564;1602;1882;2131;2222;2223;2539;2634;2714;2794;2847;2980;2981;3034;3035;3048;3147;3150;3151;3159;3178;3218;3227;3336;3407;3444;3453;3478;3479;3485;3486;3533;3651;3848;3975;3990;4059;4217;4218;4247;4248;4298;4448;4470;4488;4571;4637;4655;4676;4744;4757;4854;4948;4969;5233;5234;5281;5341;5479;5480;5504;5709;5714;5957;6011;6174;6213;6235;6796,0;1;2;3;4;5;375;376;377;468;469;470;471;956;957;958;959;960;961;974;975;976;977;978;979;980;981;982;983;984;985;986;987;988;989;990;991;992;1112;1113;1114;1115;1116;1117;1342;1343;1344;1345;1346;1347;1348;1349;1350;1848;1849;1850;2166;2167;2168;2169;2170;2171;2184;2185;2186;2187;2188;2189;2190;2424;2425;2502;2503;2504;2520;2521;2522;2523;2899;2900;3284;3285;3286;3736;3737;3738;3892;3893;3894;3895;3896;3897;3898;3899;3900;3901;3902;4022;4023;4024;4025;4026;4027;4028;4029;4030;4031;4098;4099;4100;5371;5372;5373;5781;5782;5783;5784;5785;5786;5942;5943;5944;5945;6027;6028;6029;6030;6031;6032;6037;6038;6039;6040;6041;6048;6049;6050;6051;6052;6240;6241;6242;6453;6454;6455;6456;6484;6485;6486;6487;6604;6605;6606;6607;6608;6609;7783;7784;7785;8763;8764;8765;9141;9142;9143;9144;9145;9146;9147;9148;9149;10478;10479;10480;10481;10482;10483;10873;10874;10875;11175;11176;11177;11178;11179;11180;11181;11182;11183;11496;11497;11498;11499;11500;11501;11502;11743;11744;11745;12363;12364;12365;12366;12367;12368;12369;12370;12371;12372;12373;12374;12375;12376;12377;12378;12379;12380;12381;12382;12626;12627;12628;12629;12630;12631;12632;12633;12634;12635;12636;12689;12690;13090;13091;13092;13099;13100;13101;13102;13103;13104;13105;13106;13107;13108;13109;13110;13111;13150;13151;13152;13153;13154;13155;13156;13157;13232;13233;13234;13431;13432;13433;13434;13435;13436;13437;13438;13439;13440;13441;13442;13473;13474;13475;13476;13477;13478;13940;13941;13942;13943;14256;14257;14258;14259;14415;14416;14417;14418;14419;14420;14452;14453;14454;14555;14556;14557;14558;14559;14579;14580;14581;14582;14583;14584;14754;14755;14756;14757;14758;14759;15476;15477;15478;15479;15480;15481;16252;16253;16254;16255;16256;16257;16258;16259;16260;16261;16796;16797;16798;16846;16847;16848;16849;16850;16851;17124;17125;17126;17127;17128;17129;17738;17739;17740;17741;17742;17868;17869;17870;17871;17872;17873;17874;17875;17876;17877;18077;18078;18079;18080;18664;18665;18666;18779;18780;18781;18782;18783;18784;18844;18845;18846;18847;18848;18849;19200;19201;19448;19449;19450;19509;19510;19511;19512;19513;19514;19515;19516;19517;19518;19579;19580;19581;19582;19583;19584;19839;19840;19841;19842;19843;19844;19909;19910;19911;19912;19913;19914;19915;19916;19917;19918;19919;20354;20355;20356;20357;20358;20359;20360;20361;20362;20363;20364;20365;20366;20367;20368;20369;20785;20786;20787;20788;20789;20790;20863;20864;20865;21966;21967;21968;21969;21970;21971;21972;21973;21974;21975;21976;22173;22174;22175;22176;22387;22388;22389;22390;22391;22392;22970;22971;22972;22973;22974;22975;23072;23073;23074;23075;23076;23077;23934;23935;23936;23937;23938;23951;23952;23953;23954;23955;23956;23957;24931;24932;24933;25248;25249;25250;25251;25252;25253;25254;25255;25256;25929;25930;25931;26101;26102;26103;26104;26105;26106;26205;26206;26207;26208;26209;28461;28462;28463,0;1;2;3;4;5;289;290;291;349;350;351;710;711;712;713;719;720;721;722;723;724;725;726;727;728;729;730;731;732;733;734;839;840;841;1000;1001;1002;1003;1004;1005;1006;1338;1339;1340;1341;1342;1343;1628;1629;1630;1631;1632;1633;1634;1635;1647;1648;1649;1650;1824;1825;1885;1886;1887;1898;2162;2487;2488;2489;2834;2835;2836;2837;2838;2949;2950;2951;2952;2953;2954;2955;3035;3036;3037;3038;3039;3040;3041;3042;3043;3044;3045;3088;3089;3090;4050;4051;4052;4340;4460;4461;4462;4524;4525;4526;4530;4531;4532;4533;4538;4539;4672;4673;4674;4823;4824;4825;4846;4847;4848;4942;4943;4944;4945;4946;5830;5831;5832;6558;6559;6837;6838;6839;6840;6841;6842;6843;6844;6845;7861;7862;7863;8155;8156;8157;8381;8382;8383;8384;8385;8386;8387;8388;8389;8390;8634;8635;8636;8826;9336;9337;9338;9339;9340;9341;9342;9343;9344;9345;9346;9347;9348;9349;9534;9535;9536;9537;9538;9539;9578;9579;9889;9890;9893;9894;9895;9896;9897;9898;9899;9920;9921;9922;9923;9971;9972;9973;10100;10101;10102;10103;10104;10105;10106;10107;10108;10109;10110;10128;10129;10130;10131;10132;10133;10451;10452;10453;10454;10455;10456;10672;10773;10774;10799;10875;10876;10877;10890;10891;10892;10893;11018;11019;11020;11021;11022;11023;11024;11828;11829;11830;11831;12389;12390;12391;12392;12393;12394;12807;12808;12809;12837;12838;12839;12840;12841;12842;13044;13045;13046;13047;13048;13490;13491;13492;13590;13591;13592;13593;13594;13755;13756;14173;14174;14175;14273;14274;14275;14276;14277;14278;14319;14320;14321;14322;14323;14324;14571;14572;14747;14748;14749;14793;14794;14795;14796;14797;14798;14799;14800;14801;14848;14849;14850;14851;15038;15039;15040;15041;15042;15078;15079;15080;15081;15082;15083;15084;15085;15403;15404;15405;15406;15407;15408;15409;15410;15411;15412;15413;15414;15415;15708;15709;15710;15711;15712;15713;15755;16588;16589;16590;16591;16592;16593;16594;16736;16737;16738;16888;16889;16890;16891;16892;16893;17339;17340;17341;17342;17415;17416;17417;17418;17419;18111;18112;18113;18114;18121;18122;18123;18124;18125;18126;18836;18837;18838;19142;19143;19144;19145;19623;19624;19750;19751;19752;19753;19840;19841;19842;21559,0;289;350;710;720;728;841;1002;1340;1630;1647;1650;1825;1887;1898;2162;2487;2837;2952;3041;3044;3088;4052;4340;4461;4524;4531;4539;4674;4824;4825;4848;4942;5832;6558;6839;6844;7861;8156;8384;8636;8826;9338;9345;9534;9535;9578;9890;9893;9897;9922;9973;10102;10128;10453;10672;10773;10799;10875;10877;10891;10893;11018;11831;12393;12809;12837;13047;13490;13590;13592;13756;14175;14277;14323;14572;14747;14801;14848;15039;15078;15403;15709;15755;16589;16593;16736;16889;17340;17418;18112;18123;18837;19144;19623;19752;19841;21559,141;142;143;144,290;714;1250;1596,-1;-1;-1
E9FZV2,E9FZV2,6,6,6,tr|E9FZV2|E9FZV2_DAPPU Aldedh domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_236060 PE=4 SV=1,1,6,6,6,6,6,6,2,2,3,6,6,6,2,2,3,6,6,6,2,2,3,17.2,17.2,17.2,48.908,453,453,0.0,23.268,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,17.2,17.2,17.2,5.1,5.1,8.2,180180000,57963000,53004000,50186000,6533400,6257600,6240100,27,6673500,2146800.0,1963100.0,1858700,241980.0,231760.0,231110.0,54466000,40708000,41247000,84114000,74592000,72943000,5,5,4,0,1,0,15,,,,370,1922;2425;2735;2809;3017;5119,True;True;True;True;True;True,1993;2509;2833;2912;3129;5339,8224;8225;8226;10350;10351;10352;10353;10354;10355;11678;11679;11680;11681;12025;12026;12027;13019;13020;13021;13022;13023;13024;22381;22382;22383,6163;6164;6165;7769;7770;8773;9028;9029;9843;9844;9845;9846;16883;16884;16885,6165;7770;8773;9028;9843;16883,,,-1
E9G008,E9G008,3,3,3,tr|E9G008|E9G008_DAPPU Ras protein 2 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_192739 PE=2 SV=1,1,3,3,3,3,3,2,1,0,1,3,3,2,1,0,1,3,3,2,1,0,1,17.2,17.2,17.2,23.27,203,203,0.0,11.112,By MS/MS,By MS/MS,By MS/MS,By matching,,By matching,17.2,17.2,11.8,3.9,0.0,3.9,108020000,31915000,48093000,22418000,3188000,0,2402700,12,9001400,2659600.0,4007700.0,1868100,265670.0,0.0,200230.0,40040000,32377000,29595000,0,0,0,3,3,1,0,0,0,7,,,,371,3006;3292;5151,True;True;True,3118;3417;5371,12966;12967;14293;14294;14295;22515;22516;22517;22518;22519,9793;9794;9795;10691;10692;16981;16982;16983,9793;10691;16983,,,-1
E9G046,E9G046,6,6,6,tr|E9G046|E9G046_DAPPU Sterol carrier protein 2 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_221682 PE=3 SV=1,1,6,6,6,6,6,6,2,2,2,6,6,6,2,2,2,6,6,6,2,2,2,13.0,13.0,13.0,56.879,532,532,0.0,42.934,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By matching,13.0,13.0,13.0,3.8,3.4,3.4,722410000,243530000,248880000,216650000,3780000,4256800,5315100,23,31409000,10588000.0,10821000.0,9419600,164350.0,185080.0,231090.0,168060000,163160000,143380000,120640000,123980000,133770000,5,5,4,0,0,0,14,,,,372,824;3188;5706;5869;6137;6622,True;True;True;True;True;True,852;3309;5952;6122;6396;6900,3545;3546;3547;3548;13831;13832;13833;24911;24912;24913;24914;25705;25706;25707;25708;25709;25710;25711;25712;25713;25714;26821;26822;26823;26824;26825;28860;28861;28862,2692;2693;10369;10370;10371;18823;18824;18825;19474;19475;19476;19477;20309;20310;21830;21831,2693;10369;18823;19474;20309;21830,,,-1
E9G063,E9G063,3,3,3,tr|E9G063|E9G063_DAPPU Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_192475 PE=3 SV=1,1,3,3,3,2,3,3,0,0,1,2,3,3,0,0,1,2,3,3,0,0,1,5.7,5.7,5.7,54.393,493,493,0.0,5.3323,By MS/MS,By MS/MS,By MS/MS,,,By matching,4.3,5.7,5.7,0.0,0.0,1.4,34816000,5811700,8618500,20131000,0,0,255220,27,1289500,215250.0,319200.0,745590,0.0,0.0,9452.7,12909000,9875800,12175000,0,0,0,3,2,2,0,0,0,7,,,,373,649;3715;5060,True;True;True,671;672;3856;5280,2838;2839;2840;2841;2842;2843;16285;16286;16287;22170;22171;22172,2121;2122;2123;12417;16733;16734;16735,2122;12417;16734,145,488,-1
E9G065,E9G065,9,9,7,tr|E9G065|E9G065_DAPPU Thioredoxin domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_230422 PE=3 SV=1,1,9,9,7,9,9,9,4,4,5,9,9,9,4,4,5,7,7,7,2,2,3,43.7,43.7,34.5,21.993,197,197,0.0,49.748,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,43.7,43.7,43.7,18.3,19.3,24.4,1705700000,535590000,534070000,526800000,34174000,33848000,41226000,14,121840000,38256000.0,38148000.0,37628000,2441000.0,2417700.0,2944700.0,535150000,454730000,479140000,418730000,420300000,460100000,8,7,9,3,3,4,34,,,,374,1359;2147;2298;3136;3910;4527;4635;5210;5255,True;True;True;True;True;True;True;True;True,1409;2225;2380;3256;4055;4728;4840;5431;5478,5862;5863;5864;5865;9159;9160;9161;9162;9163;9801;9802;9803;9804;9805;9806;9807;9808;13598;13599;13600;13601;13602;13603;17097;17098;17099;17100;19781;19782;19783;20298;20299;20300;20301;20302;20303;22750;22751;22752;22753;22754;22755;22756;22967;22968;22969,4396;4397;4398;6850;6851;6852;7345;7346;7347;7348;7349;7350;7351;10212;10213;10214;13019;13020;13021;13022;15005;15006;15007;15362;15363;15364;15365;15366;15367;17149;17150;17151;17152;17153;17154;17336;17337;17338,4398;6852;7349;10212;13019;15006;15363;17150;17336,,,-1
E9G068,E9G068,11,11,11,tr|E9G068|E9G068_DAPPU Rab GDP dissociation inhibitor OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_207615 PE=3 SV=1,1,11,11,11,10,10,10,5,4,4,10,10,10,5,4,4,10,10,10,5,4,4,29.1,29.1,29.1,50.239,443,443,0.0,70.373,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,26.9,26.9,26.9,11.7,9.9,9.5,443120000,146610000,136880000,141120000,8180700,6097800,4227900,30,14771000,4886900.0,4562700.0,4704000,272690.0,203260.0,140930.0,148130000,103950000,116340000,101700000,93776000,62427000,11,9,8,0,1,0,29,,,,375,724;1100;1220;1789;1796;2302;3957;3987;4397;6165;6391,True;True;True;True;True;True;True;True;True;True;True,751;1143;1265;1853;1860;2384;4103;4140;4141;4596;6424;6659,3190;3191;3192;3193;3194;3195;4785;4786;4787;5277;5278;5279;7679;7707;7708;7709;9819;9820;9821;9822;9823;17309;17310;17311;17312;17313;17480;17481;17482;17483;17484;19287;19288;19289;26947;26948;26949;26950;26951;27885;27886;27887;27888;27889;27890,2423;3610;3611;3612;3983;3984;3985;5746;5768;5769;5770;7358;7359;7360;13170;13171;13172;13285;13286;13287;13288;13289;14635;14636;20412;20413;21109;21110;21111;21112,2423;3610;3983;5746;5768;7359;13172;13285;14635;20413;21110,146,1,-1
E9H2W1;E9G091;E9G090,E9H2W1;E9G091;E9G090,1;1;1,1;1;1,1;1;1,tr|E9H2W1|E9H2W1_DAPPU VWFA domain-containing protein (Fragment) OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_57683 PE=4 SV=1;tr|E9G091|E9G091_DAPPU Copine-8 OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_312258 PE=3 SV=1;tr|E9G090|E9G090_DAPPU Copine-8 OS=Daphnia pulex,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.6,3.6,3.6,27.731,252,252;507;524,0.0,2.0867,By matching,By MS/MS,By MS/MS,By matching,By matching,By matching,3.6,3.6,3.6,3.6,3.6,3.6,12583000,4053200,3754500,2999800,559330,603130,612600,9,1398100,450360.0,417160.0,333310,62148.0,67014.0,68067.0,0,0,0,0,0,6713600,0,1,1,0,0,0,2,,,,376,900,True,930,3858;3859;3860;3861;3862;3863,2925;2926,2926,,,-1;-1;-1
